"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"63","0.32","UP_KW_DOMAIN","Immunoglobulin domain","13","430","391","14291","1.74","5.16e-1","1.00e+0","1.10","1.00e+0","1.00e+0","3.92e-1","ENSDARG00000090190,ENSDARG00000075433,ENSDARG00000004597,ENSDARG00000079175,ENSDARG00000039256,ENSDARG00000006396,ENSDARG00000058248,ENSDARG00000039500,ENSDARG00000101364,ENSDARG00000069402,ENSDARG00000104665,ENSDARG00000030157,ENSDARG00000105630"
"63","0.32","SMART","FN3","6","372","181","13267","0.81","5.74e-1","1.00e+0","1.18","1.00e+0","1.00e+0","3.97e-1","ENSDARG00000075433,ENSDARG00000090834,ENSDARG00000039256,ENSDARG00000006396,ENSDARG00000039500,ENSDARG00000030157"
"63","0.32","SMART","IG","15","372","536","13267","2.01","6.42e-1","1.00e+0","1.00","1.00e+0","1.00e+0","5.41e-1","ENSDARG00000090190,ENSDARG00000093074,ENSDARG00000075433,ENSDARG00000004597,ENSDARG00000079175,ENSDARG00000100809,ENSDARG00000039256,ENSDARG00000091579,ENSDARG00000006396,ENSDARG00000039500,ENSDARG00000101364,ENSDARG00000069402,ENSDARG00000104665,ENSDARG00000030157,ENSDARG00000105630"
"63","0.32","INTERPRO","FN3_sf","8","719","254","23408","1.07","6.65e-1","1.00e+0","1.03","1.00e+0","1.00e+0","5.22e-1","ENSDARG00000075433,ENSDARG00000090834,ENSDARG00000039256,ENSDARG00000006396,ENSDARG00000039500,ENSDARG00000069961,ENSDARG00000030157,ENSDARG00000010941"
"63","0.32","INTERPRO","FN3_dom","7","719","241","23408","0.94","7.52e-1","1.00e+0","0.95","1.00e+0","1.00e+0","6.12e-1","ENSDARG00000075433,ENSDARG00000090834,ENSDARG00000039256,ENSDARG00000006396,ENSDARG00000039500,ENSDARG00000030157,ENSDARG00000010941"
"63","0.32","INTERPRO","Ig_sub","15","719","536","23408","2.01","7.67e-1","1.00e+0","0.91","1.00e+0","1.00e+0","6.80e-1","ENSDARG00000090190,ENSDARG00000093074,ENSDARG00000075433,ENSDARG00000004597,ENSDARG00000079175,ENSDARG00000100809,ENSDARG00000039256,ENSDARG00000091579,ENSDARG00000006396,ENSDARG00000039500,ENSDARG00000101364,ENSDARG00000069402,ENSDARG00000104665,ENSDARG00000030157,ENSDARG00000105630"
"63","0.32","UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III","6","656","211","21277","0.81","7.82e-1","1.00e+0","0.92","1.00e+0","1.00e+0","6.36e-1","ENSDARG00000075433,ENSDARG00000090834,ENSDARG00000006396,ENSDARG00000039500,ENSDARG00000030157,ENSDARG00000010941"
"63","0.32","INTERPRO","Ig-like_dom","16","719","616","23408","2.15","8.52e-1","1.00e+0","0.85","1.00e+0","1.00e+0","7.88e-1","ENSDARG00000090190,ENSDARG00000093074,ENSDARG00000075433,ENSDARG00000004597,ENSDARG00000079175,ENSDARG00000009825,ENSDARG00000100809,ENSDARG00000039256,ENSDARG00000091579,ENSDARG00000006396,ENSDARG00000039500,ENSDARG00000101364,ENSDARG00000069402,ENSDARG00000104665,ENSDARG00000030157,ENSDARG00000105630"
"63","0.32","UP_SEQ_FEATURE","DOMAIN:Ig-like","14","656","544","21277","1.88","8.59e-1","1.00e+0","0.83","1.00e+0","1.00e+0","7.91e-1","ENSDARG00000090190,ENSDARG00000093074,ENSDARG00000075433,ENSDARG00000004597,ENSDARG00000079175,ENSDARG00000009825,ENSDARG00000100809,ENSDARG00000091579,ENSDARG00000006396,ENSDARG00000039500,ENSDARG00000069402,ENSDARG00000104665,ENSDARG00000030157,ENSDARG00000105630"
"63","0.32","INTERPRO","Ig-like_fold","25","719","995","23408","3.36","9.10e-1","1.00e+0","0.82","1.00e+0","1.00e+0","8.75e-1","ENSDARG00000093074,ENSDARG00000045453,ENSDARG00000076297,ENSDARG00000100809,ENSDARG00000090834,ENSDARG00000039256,ENSDARG00000094832,ENSDARG00000069402,ENSDARG00000101364,ENSDARG00000069961,ENSDARG00000102556,ENSDARG00000090190,ENSDARG00000075433,ENSDARG00000093068,ENSDARG00000004597,ENSDARG00000079175,ENSDARG00000009825,ENSDARG00000001818,ENSDARG00000091579,ENSDARG00000039500,ENSDARG00000006396,ENSDARG00000104665,ENSDARG00000030157,ENSDARG00000105630,ENSDARG00000010941"
"63","0.32","INTERPRO","Ig-like_dom_sf","16","719","682","23408","2.15","9.32e-1","1.00e+0","0.76","1.00e+0","1.00e+0","8.94e-1","ENSDARG00000090190,ENSDARG00000093074,ENSDARG00000075433,ENSDARG00000004597,ENSDARG00000079175,ENSDARG00000009825,ENSDARG00000100809,ENSDARG00000039256,ENSDARG00000091579,ENSDARG00000006396,ENSDARG00000039500,ENSDARG00000101364,ENSDARG00000069402,ENSDARG00000104665,ENSDARG00000030157,ENSDARG00000105630"
"64","0.31","GOTERM_CC_DIRECT","nuclear speck","7","683","127","22190","0.94","1.97e-1","1.00e+0","1.79","1.00e+0","9.97e-1","9.75e-2","ENSDARG00000018319,ENSDARG00000041402,ENSDARG00000019223,ENSDARG00000116743,ENSDARG00000055124,ENSDARG00000063726,ENSDARG00000100232"
"64","0.31","GOTERM_BP_DIRECT","RNA splicing","9","644","193","20756","1.21","2.50e-1","1.00e+0","1.50","1.00e+0","1.00e+0","1.47e-1","ENSDARG00000035023,ENSDARG00000045691,ENSDARG00000018319,ENSDARG00000041533,ENSDARG00000019223,ENSDARG00000116743,ENSDARG00000031346,ENSDARG00000037965,ENSDARG00000063726"
"64","0.31","UP_KW_BIOLOGICAL_PROCESS","mRNA splicing","7","257","180","8466","0.94","4.63e-1","1.00e+0","1.28","1.00e+0","1.00e+0","3.06e-1","ENSDARG00000035023,ENSDARG00000045691,ENSDARG00000018319,ENSDARG00000019223,ENSDARG00000116743,ENSDARG00000037965,ENSDARG00000063726"
"64","0.31","GOTERM_CC_DIRECT","spliceosomal complex","5","683","116","22190","0.67","4.80e-1","1.00e+0","1.40","1.00e+0","9.97e-1","2.86e-1","ENSDARG00000035023,ENSDARG00000045691,ENSDARG00000031346,ENSDARG00000037965,ENSDARG00000077461"
"64","0.31","UP_KW_BIOLOGICAL_PROCESS","mRNA processing","7","257","234","8466","0.94","7.16e-1","1.00e+0","0.99","1.00e+0","1.00e+0","5.70e-1","ENSDARG00000035023,ENSDARG00000045691,ENSDARG00000018319,ENSDARG00000019223,ENSDARG00000116743,ENSDARG00000037965,ENSDARG00000063726"
