"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"9","0.33","UP_KW_LIGAND","ATP-binding","5","41","1291","7893","4.10","9.12e-1","1.00e+0","0.75","1.00e+0","1.00e+0","8.24e-1","ENSDARG00000101161,ENSDARG00000059556,ENSDARG00000021787,ENSDARG00000016818,ENSDARG00000101378"
"9","0.33","UP_KW_LIGAND","Nucleotide-binding","5","41","1487","7893","4.10","9.59e-1","1.00e+0","0.65","1.00e+0","1.00e+0","9.08e-1","ENSDARG00000099996,ENSDARG00000101161,ENSDARG00000059556,ENSDARG00000021787,ENSDARG00000016818"
"10","0.29","UP_SEQ_FEATURE","TRANSMEM:Helical","32","112","5665","21277","26.23","4.13e-1","1.00e+0","1.07","1.00e+0","1.00e+0","3.54e-1","ENSDARG00000006869,ENSDARG00000099996,ENSDARG00000074776,ENSDARG00000052300,ENSDARG00000021787,ENSDARG00000040816,ENSDARG00000044767,ENSDARG00000017108,ENSDARG00000069028,ENSDARG00000016818,ENSDARG00000103940,ENSDARG00000100498,ENSDARG00000041292,ENSDARG00000102254,ENSDARG00000058937,ENSDARG00000051981,ENSDARG00000003927,ENSDARG00000101291,ENSDARG00000004497,ENSDARG00000087319,ENSDARG00000038296,ENSDARG00000004597,ENSDARG00000021399,ENSDARG00000079175,ENSDARG00000078481,ENSDARG00000078186,ENSDARG00000093065,ENSDARG00000042357,ENSDARG00000006396,ENSDARG00000100385,ENSDARG00000039726,ENSDARG00000104389"
"10","0.29","UP_KW_DOMAIN","Transmembrane","25","69","4975","14291","20.49","5.12e-1","1.00e+0","1.04","1.00e+0","1.00e+0","4.47e-1","ENSDARG00000006869,ENSDARG00000099996,ENSDARG00000074776,ENSDARG00000052300,ENSDARG00000021787,ENSDARG00000044767,ENSDARG00000017108,ENSDARG00000014098,ENSDARG00000069028,ENSDARG00000016818,ENSDARG00000103940,ENSDARG00000051981,ENSDARG00000003927,ENSDARG00000101291,ENSDARG00000004497,ENSDARG00000087319,ENSDARG00000038296,ENSDARG00000004597,ENSDARG00000079175,ENSDARG00000078481,ENSDARG00000078186,ENSDARG00000093065,ENSDARG00000038213,ENSDARG00000006396,ENSDARG00000039726"
"10","0.29","UP_KW_CELLULAR_COMPONENT","Membrane","38","78","7786","16344","31.15","5.16e-1","1.00e+0","1.02","1.00e+0","1.00e+0","4.68e-1","ENSDARG00000006869,ENSDARG00000019360,ENSDARG00000099996,ENSDARG00000074776,ENSDARG00000052300,ENSDARG00000021787,ENSDARG00000040816,ENSDARG00000044767,ENSDARG00000017108,ENSDARG00000009252,ENSDARG00000017785,ENSDARG00000014098,ENSDARG00000069028,ENSDARG00000016818,ENSDARG00000103940,ENSDARG00000058815,ENSDARG00000041292,ENSDARG00000102254,ENSDARG00000106212,ENSDARG00000058937,ENSDARG00000026862,ENSDARG00000051981,ENSDARG00000003927,ENSDARG00000101291,ENSDARG00000004497,ENSDARG00000087319,ENSDARG00000038296,ENSDARG00000004597,ENSDARG00000021399,ENSDARG00000079175,ENSDARG00000078481,ENSDARG00000078186,ENSDARG00000093065,ENSDARG00000042357,ENSDARG00000038213,ENSDARG00000006396,ENSDARG00000039726,ENSDARG00000104389"
"10","0.29","GOTERM_CC_DIRECT","membrane","37","109","7443","22190","30.33","5.55e-1","1.00e+0","1.01","1.00e+0","1.00e+0","5.01e-1","ENSDARG00000006869,ENSDARG00000019360,ENSDARG00000099996,ENSDARG00000074776,ENSDARG00000052300,ENSDARG00000021787,ENSDARG00000040816,ENSDARG00000044767,ENSDARG00000017108,ENSDARG00000017785,ENSDARG00000014098,ENSDARG00000069028,ENSDARG00000016818,ENSDARG00000103940,ENSDARG00000058815,ENSDARG00000100498,ENSDARG00000041292,ENSDARG00000058937,ENSDARG00000026862,ENSDARG00000051981,ENSDARG00000003927,ENSDARG00000101291,ENSDARG00000004497,ENSDARG00000087319,ENSDARG00000038296,ENSDARG00000004597,ENSDARG00000021399,ENSDARG00000079175,ENSDARG00000078481,ENSDARG00000078186,ENSDARG00000093065,ENSDARG00000042357,ENSDARG00000038213,ENSDARG00000006396,ENSDARG00000100385,ENSDARG00000039726,ENSDARG00000104389"
"10","0.29","GOTERM_CC_DIRECT","plasma membrane","23","109","4583","22190","18.85","5.67e-1","1.00e+0","1.02","1.00e+0","1.00e+0","4.92e-1","ENSDARG00000006869,ENSDARG00000026862,ENSDARG00000051981,ENSDARG00000003927,ENSDARG00000021787,ENSDARG00000040816,ENSDARG00000004497,ENSDARG00000004597,ENSDARG00000079175,ENSDARG00000044767,ENSDARG00000017108,ENSDARG00000061398,ENSDARG00000042357,ENSDARG00000014098,ENSDARG00000006396,ENSDARG00000069028,ENSDARG00000016818,ENSDARG00000074808,ENSDARG00000041292,ENSDARG00000058815,ENSDARG00000102254,ENSDARG00000104389,ENSDARG00000058937"
"11","0.29","GOTERM_CC_DIRECT","endoplasmic reticulum membrane","6","109","816","22190","4.92","3.65e-1","1.00e+0","1.50","1.00e+0","1.00e+0","2.13e-1","ENSDARG00000019360,ENSDARG00000014098,ENSDARG00000038213,ENSDARG00000019008,ENSDARG00000058815,ENSDARG00000078186"
"11","0.29","GOTERM_CC_DIRECT","endoplasmic reticulum","6","109","960","22190","4.92","5.03e-1","1.00e+0","1.27","1.00e+0","1.00e+0","3.33e-1","ENSDARG00000019360,ENSDARG00000102937,ENSDARG00000014098,ENSDARG00000038213,ENSDARG00000058815,ENSDARG00000078186"
"11","0.29","UP_KW_CELLULAR_COMPONENT","Endoplasmic reticulum","4","78","800","16344","3.28","7.34e-1","1.00e+0","1.05","1.00e+0","1.00e+0","5.35e-1","ENSDARG00000014098,ENSDARG00000038213,ENSDARG00000058815,ENSDARG00000078186"
