"Cluster","Cluster Enrichment Score","Category","Term","Count","List Total","Pop Hits","Pop Total","%","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"40","0.98","INTERPRO","SH3-like_dom_sf","23","1340","283","23408","1.67","8.84e-2","1.00e+0","1.42","1.00e+0","1.00e+0","5.71e-2","ENSDARG00000002642,ENSDARG00000105287,ENSDARG00000099887,ENSDARG00000002463,ENSDARG00000056525,ENSDARG00000020131,ENSDARG00000007179,ENSDARG00000079475,ENSDARG00000021896,ENSDARG00000079742,ENSDARG00000039265,ENSDARG00000022895,ENSDARG00000099045,ENSDARG00000060309,ENSDARG00000009738,ENSDARG00000008548,ENSDARG00000063309,ENSDARG00000009136,ENSDARG00000016541,ENSDARG00000101979,ENSDARG00000006683,ENSDARG00000089878,ENSDARG00000014954"
"40","0.98","SMART","SH3","18","772","261","13267","1.31","3.47e-1","1.00e+0","1.19","1.00e+0","1.00e+0","2.59e-1","ENSDARG00000002642,ENSDARG00000105287,ENSDARG00000002463,ENSDARG00000056525,ENSDARG00000020131,ENSDARG00000079475,ENSDARG00000021896,ENSDARG00000079742,ENSDARG00000039265,ENSDARG00000060309,ENSDARG00000008548,ENSDARG00000009136,ENSDARG00000016541,ENSDARG00000102229,ENSDARG00000101979,ENSDARG00000006683,ENSDARG00000089878,ENSDARG00000014954"
"41","0.98","INTERPRO","PDZ","20","1340","236","23408","1.45","8.43e-2","1.00e+0","1.48","1.00e+0","1.00e+0","5.19e-2","ENSDARG00000105287,ENSDARG00000033804,ENSDARG00000023443,ENSDARG00000071478,ENSDARG00000052454,ENSDARG00000027322,ENSDARG00000061725,ENSDARG00000086505,ENSDARG00000009610,ENSDARG00000063309,ENSDARG00000000588,ENSDARG00000088699,ENSDARG00000010583,ENSDARG00000069956,ENSDARG00000090675,ENSDARG00000089009,ENSDARG00000015707,ENSDARG00000019845,ENSDARG00000105277,ENSDARG00000012513"
"41","0.98","SMART","PDZ","20","772","234","13267","1.45","8.80e-2","1.00e+0","1.47","1.00e+0","1.00e+0","5.46e-2","ENSDARG00000105287,ENSDARG00000033804,ENSDARG00000023443,ENSDARG00000071478,ENSDARG00000052454,ENSDARG00000027322,ENSDARG00000061725,ENSDARG00000086505,ENSDARG00000009610,ENSDARG00000063309,ENSDARG00000000588,ENSDARG00000088699,ENSDARG00000010583,ENSDARG00000069956,ENSDARG00000090675,ENSDARG00000089009,ENSDARG00000015707,ENSDARG00000019845,ENSDARG00000105277,ENSDARG00000012513"
"41","0.98","INTERPRO","PDZ_sf","20","1340","242","23408","1.45","1.01e-1","1.00e+0","1.44","1.00e+0","1.00e+0","6.38e-2","ENSDARG00000105287,ENSDARG00000033804,ENSDARG00000023443,ENSDARG00000071478,ENSDARG00000052454,ENSDARG00000027322,ENSDARG00000061725,ENSDARG00000086505,ENSDARG00000009610,ENSDARG00000063309,ENSDARG00000000588,ENSDARG00000088699,ENSDARG00000010583,ENSDARG00000069956,ENSDARG00000090675,ENSDARG00000089009,ENSDARG00000015707,ENSDARG00000019845,ENSDARG00000105277,ENSDARG00000012513"
"41","0.98","UP_SEQ_FEATURE","DOMAIN:PDZ","18","1250","221","21277","1.31","1.55e-1","1.00e+0","1.39","1.00e+0","1.00e+0","1.01e-1","ENSDARG00000105287,ENSDARG00000033804,ENSDARG00000023443,ENSDARG00000071478,ENSDARG00000052454,ENSDARG00000027322,ENSDARG00000009610,ENSDARG00000063309,ENSDARG00000000588,ENSDARG00000088699,ENSDARG00000010583,ENSDARG00000069956,ENSDARG00000090675,ENSDARG00000089009,ENSDARG00000015707,ENSDARG00000019845,ENSDARG00000105277,ENSDARG00000012513"
"42","0.98","INTERPRO","E3_ubiq-protein_ligase","4","1340","14","23408","0.29","4.23e-2","1.00e+0","4.99","1.00e+0","1.00e+0","6.74e-3","ENSDARG00000004291,ENSDARG00000061345,ENSDARG00000074903,ENSDARG00000099199"
"42","0.98","INTERPRO","E3_ub_ligase_SMURF1","3","1340","7","23408","0.22","5.67e-2","1.00e+0","7.49","1.00e+0","1.00e+0","5.50e-3","ENSDARG00000061345,ENSDARG00000074903,ENSDARG00000099199"
"42","0.98","INTERPRO","WW_dom_sf","7","1340","51","23408","0.51","6.97e-2","1.00e+0","2.40","1.00e+0","1.00e+0","2.54e-2","ENSDARG00000004291,ENSDARG00000061345,ENSDARG00000074903,ENSDARG00000099199,ENSDARG00000012577,ENSDARG00000051800,ENSDARG00000008548"
"42","0.98","UP_SEQ_FEATURE","DOMAIN:WW","7","1250","50","21277","0.51","7.12e-2","1.00e+0","2.38","1.00e+0","1.00e+0","2.60e-2","ENSDARG00000004291,ENSDARG00000061345,ENSDARG00000074903,ENSDARG00000099199,ENSDARG00000012577,ENSDARG00000051800,ENSDARG00000008548"
